Prefecture,G1_Ratio,G1_FeverTrue,G1_Total,G2_Ratio,G2_FeverTrue,G2_Total,G3_Ratio,G3_FeverTrue,G3_Total,G4_Ratio,G4_FeverTrue,G4_Total,G5_Ratio,G5_FeverTrue,G5_Total,G6_Ratio,G6_FeverTrue,G6_Total,All_Ratio,All_FeverTrue,All_Total,All_Ratio_correction
全国,0.23,5995,2651272,0.09,1890,2128322,0.10,8007,7928268,0.12,3588,3056554,0.05,1589,3389913,0.12,5866,4838372,0.11,26935,23992701,NA
北海道,0.31,319,101588,0.12,116,95717,0.15,377,258799,0.18,196,108047,0.07,87,132584,0.18,348,198244,0.16,1443,894979,0.16
青森県,0.24,51,21078,0.13,29,21492,0.09,50,54295,0.13,34,26743,0.05,10,21795,0.12,52,44418,0.12,226,189821,0.11
岩手県,0.24,47,19985,0.12,22,18798,0.06,30,51765,0.10,25,24980,0.02,5,20169,0.10,42,42113,0.10,171,177810,0.08
宮城県,0.21,109,52179,0.05,20,37179,0.09,116,132214,0.12,70,59555,0.03,19,58978,0.10,82,83602,0.10,416,423707,0.09
秋田県,0.30,45,15176,0.09,15,16992,0.06,26,42463,0.11,21,19176,0.04,7,17109,0.12,39,33481,0.11,153,144397,0.08
山形県,0.22,38,17119,0.10,16,16050,0.09,39,45508,0.12,28,23298,0.04,7,16575,0.10,39,38419,0.11,167,156969,0.1
福島県,0.20,66,32776,0.08,23,27329,0.08,63,83999,0.11,38,34225,0.04,15,36407,0.11,79,69935,0.10,284,284671,0.1
茨城県,0.21,108,51083,0.08,34,42515,0.09,137,158301,0.09,60,64531,0.03,21,71465,0.10,122,121967,0.09,482,509862,0.09
栃木県,0.16,60,38105,0.07,22,30096,0.08,81,105573,0.10,45,43291,0.05,24,47853,0.09,74,83931,0.09,306,348849,0.09
群馬県,0.15,56,37668,0.06,22,34305,0.09,90,100419,0.10,44,46138,0.05,24,45942,0.11,96,84936,0.10,332,349408,0.09
埼玉県,0.20,334,167351,0.08,102,120844,0.10,522,530087,0.09,174,189037,0.05,120,231050,0.10,315,300857,0.10,1567,1539226,0.1
千葉県,0.21,305,146171,0.07,78,104525,0.09,436,468250,0.11,191,170114,0.05,92,202689,0.11,293,266275,0.10,1395,1358024,0.1
東京都,0.38,1515,396853,0.15,358,235246,0.15,2255,1469425,0.16,679,419227,0.06,265,432198,0.20,1067,535621,0.18,6139,3488570,0.17
神奈川県,0.22,463,209743,0.09,147,159248,0.10,762,755283,0.11,285,256219,0.04,130,315420,0.13,468,364903,0.11,2255,2060816,0.11
新潟県,0.13,49,39066,0.04,12,32850,0.07,74,102677,0.09,38,43615,0.04,18,41132,0.07,57,78903,0.07,248,338243,0.07
富山県,0.17,30,18064,0.06,9,15655,0.08,43,52368,0.07,16,22108,NA,,,0.07,26,38286,0.08,126,166010,0.06
石川県,0.13,31,23883,0.04,7,18854,0.05,29,62409,0.11,30,28157,0.02,5,23308,0.09,38,43418,0.07,140,200029,0.06
福井県,0.20,30,15081,0.06,8,12404,0.06,24,42078,0.08,14,17240,NA,,,0.09,30,31805,0.08,108,133672,0.07
山梨県,0.19,30,15939,0.04,5,13257,0.06,27,42693,0.04,8,19938,0.03,5,19044,0.09,33,35512,0.07,108,146383,0.06
長野県,0.14,56,39803,0.05,17,33985,0.05,55,104365,0.10,43,44367,0.04,16,44708,0.07,58,81186,0.07,245,348414,0.06
岐阜県,0.12,46,38617,0.05,17,32818,0.05,58,106926,0.09,42,48404,0.03,14,50246,0.07,57,85965,0.06,234,362976,0.06
静岡県,0.13,92,70364,0.06,33,55109,0.06,110,198727,0.07,52,75314,0.03,30,88986,0.08,117,152443,0.07,434,640943,0.06
愛知県,0.18,290,159548,0.08,85,112876,0.08,388,474399,0.10,188,181937,0.04,87,215535,0.10,321,308988,0.09,1359,1453283,0.09
三重県,0.15,46,31430,0.08,21,27370,0.06,60,94719,0.10,37,37581,0.03,14,45810,0.09,69,77006,0.08,247,313916,0.08
滋賀県,0.21,50,23699,0.07,15,21184,0.07,52,78714,0.10,36,36909,0.03,13,39662,0.09,52,57938,0.08,218,258106,0.08
京都府,0.20,103,52770,0.08,34,43345,0.11,152,140620,0.12,95,79873,0.03,23,69868,0.10,89,91562,0.10,496,478038,0.1
大阪府,0.24,504,213535,0.11,179,169821,0.11,657,578661,0.14,301,220400,0.06,154,271769,0.14,466,339563,0.13,2261,1793749,0.13
兵庫県,0.18,188,104997,0.09,84,96735,0.08,245,313585,0.12,155,131411,0.03,58,169004,0.12,245,205354,0.10,975,1021086,0.09
奈良県,0.19,45,24012,0.08,19,23384,0.07,46,70302,0.08,28,34210,0.04,17,44490,0.12,56,46851,0.09,211,243249,0.08
和歌山県,0.14,21,14717,0.07,11,15573,0.06,21,37069,0.12,20,16679,0.06,12,21800,0.08,26,32879,0.08,111,138717,0.07
鳥取県,0.32,30,9349,0.10,10,9652,0.05,13,24442,0.16,19,11697,0.07,7,9801,0.15,29,19247,0.13,108,84188,0.08
島根県,0.15,17,11541,0.08,10,12664,0.07,20,30487,0.11,17,15146,0.04,5,11620,0.09,20,23464,0.08,89,104922,0.08
岡山県,0.21,70,34097,0.06,22,34236,0.09,85,91378,0.10,46,43894,0.05,25,46488,0.11,79,70907,0.10,327,321000,0.1
広島県,0.18,96,52201,0.06,29,46706,0.08,109,145091,0.11,70,62748,0.05,33,70983,0.10,102,99427,0.09,439,477156,0.09
山口県,0.18,39,21160,0.11,25,23018,0.07,42,56522,0.12,32,26270,NA,,,0.10,46,47737,0.09,188,206161,0.07
徳島県,0.18,19,10666,0.06,7,12235,0.07,19,28085,0.16,23,14632,0.05,7,14111,0.11,26,22907,0.10,101,102636,0.09
香川県,0.21,37,17842,0.08,12,15174,0.06,25,44669,0.11,20,19021,0.04,9,21958,0.11,33,31309,0.09,136,149973,0.08
愛媛県,0.14,32,22548,0.06,14,23258,0.07,40,58037,0.07,19,26169,0.04,12,31189,0.09,42,45408,0.08,159,206609,0.08
高知県,0.18,19,10606,0.07,9,12131,0.08,21,25505,0.10,14,13424,0.07,8,11077,0.15,32,21338,0.11,103,94081,0.1
福岡県,0.19,211,114005,0.07,63,95901,0.10,278,288993,0.13,153,119887,0.06,84,136531,0.13,229,182201,0.11,1018,937518,0.11
佐賀県,0.18,24,13263,0.07,10,14292,0.08,29,34864,0.09,14,16446,0.06,10,15483,0.09,26,28519,0.09,113,122867,0.09
長崎県,0.23,48,21042,0.12,29,24232,0.08,41,52124,0.12,30,25723,0.03,7,27387,0.08,32,41711,0.10,187,192219,0.08
熊本県,0.17,53,31361,0.05,15,33307,0.08,65,77501,0.06,22,37234,0.07,25,35086,0.10,64,60983,0.09,244,275472,0.08
大分県,0.14,28,20027,0.05,11,20271,0.08,39,48162,0.09,19,21159,0.05,12,24635,0.11,43,39179,0.09,152,173433,0.09
宮崎県,0.15,28,18097,0.07,12,18097,0.07,33,44153,0.06,12,19711,0.06,11,19759,0.12,43,37312,0.09,139,157129,0.08
鹿児島県,0.17,45,25949,0.08,25,29640,0.06,35,61931,0.11,33,31360,0.04,12,31465,0.10,53,51026,0.09,203,231371,0.08
沖縄県,0.29,72,25118,0.15,27,17952,0.15,88,59631,0.18,52,29309,0.11,22,20697,0.28,111,39336,0.19,372,192043,0.19